text,label
"aku last seen aja sih, sampe kadang lupa kalo wa tuh ada last seennya, tapi enak aja gitu gatau kenapa, kalo centang biru aku tetep nyalain biar yg ngechat tuh ga panik dan udh yakin aku baca kalau hal penting",4
disini sepi yak,4
"having faith is a bless. pas lagi sedih atau down, berserah diri ke tuhan bikin tenang, dan kaya dibikin batasan biar ga depresi amat.",4
"ingat lah rekan/partner/shohib ku, this is sabtu santai. enjoy.",4
and he did! kl lu perhatiin fancam my treasure dia pasti dia seriing bgt senyum dan ketawa2 apalagi sama jeongwoo t^t makanya gue suka bgt my treasure soalnya dia enjoy the stage banget,3
"ntr klo di sadap balik marah, ups.",0
"nah, bisa dijadiin pelajaran banget nih. kita ga akan tau ketikan yg kita tuju ke orang tuh bikin sakit hati atau ngga. seenggaknya klo ga suka, bisa pake cara yg lebih halus lg. jgn kesannya ky menjudge. lyra keren, dr sakit hatinya, dia malah jd sukses proud of you ra",3
haloo minjuu habedee!! semoga sehat dan bahagia selalu,2
benci tau rasanya harus bertengkar sama perasaan diri sendiri,0
suka banget bukain dm mokondo,3
acc real sepi? yuk join. admin member baik hati dan tidak sombong'-')b,4
"pagi ji, gue happy dapat kabar baik dr lo ji..akhirnya kamu balik ke rmh jga.. seneng deh.. jaga kesehatan yah jii, jgn sakit lgi, ntar aku sedih.. yuk main ji..,",2
"lupakan saja kawan,on time bukan budaya kita~~ aku yo gtu,klo ga ontime hati gelisah,pas ontime sepi",4
sedih tapi apapun hubungannya at the end of the day bakala tetep jadi stranger gak sih?,5
"biasa nya begitu pang.. atau nunggu buln depan nya lagi buat bisa beli :"") agak miris dengan skincare yg agak mahal.. :(",5
"diam, adalah jawaban terbaik untuk menghadapi orang bodoh!",0
"aku gak kepikiran sampe kesitu ka, soalnya aku buru-buru karna itu wl aku takut keduluan orang",1
pagi pagi langsung dapat berita sedih,5
ada juga anakku yang namanya nalle! dia bubbly dan suka banget yang namanya update tentang kegiatan atau lagi ngapain di timeline pastinya dia jago dalam hal yang namanya pda,3
"anginnya kenceng bgt, takut :(",1
"menjadikan seseorang sebagai rumah kedua setelah rumah pertamamu gagal menjadi tempat ternyaman untukmu pulang adalah kesalahan terbesar, karena seseorang yang kau jadikan rumah keduamu itu bisa pergi kapan saja tanpa kau tau.",4
"diberi keistimewaan malah memalukan, apa kabar komisaris ahok? cc",4
"aku sering banget ngeluh soal muka yangg sensitif, suka muncul breakout gak jelas dan dimana-mana, dan aku pengen deh punya muka yg glowing kayak cewek lainnya. kadang juga capek sama muka sendiri karna sering breakout",3
luar biasa,4
sedih betul,5
ngeri ngono ya ndoro ngene kok sampeyan ngebet nyapres. ajur-ajur nda mending ngurusi banjir ndoro,1
"wahh suka sama tanaman ya om? sama kaya ibu aku. kadang emang gitu om, kalau sama2 sibuk atau salah satunya sibuk jarang banget ketemu. kalau nanti jadi ketemu sama adiknya titip salam ya om, semangat menjalani harinya. anw, enjoy your day om",2
"bismillah semangat hari ini, semoga banyak req dm amin",2
sedih ya wak,5
"gara2 the whole local thingy discussion ini jadi kepikiran kalo seungmin tuh anak smandel banget nak ips ketos suka lomba debat atau ikut olim, selalu 5s tiap ketemu guru, sering dispen buat jadi perwakilan sekolah, tinggal di menteng kawasan perumahan atau apartemen elite",4
"fakta : mengikut kajian tidak boleh berlebihan minum air kelapa, takut nanti jadi santan dlm perut .",4
"jadi tuh perumahan tempat tinggalku sering banget ada pengamen atau kadang suka ada yang nawarin barang gitu loh, nah waktu itu dirumah cuma ada bapakku doang karena aku sama kakakku lagi ke kampus, ibuku lagi ke warung sayur terus ada tukang ngamen kebetulan bapakku-",4
semangat ktnya,2
"jangan sedih bila belum memiliki materi, sedihlah jika kekayaan hati belum dimiliki",4
iya pusing apalagi lucu2. bayangin aku udh jajan 2 leot belum ada jeda seminggu aak tp aku seneng tp sedih jg kenapa bs lemah sm leot lucu kawkakaw,2
semangat ay!,2
"jujur gue malu jadi orang indo, kok bisa tinggal senegara sama orang2 bodoh kyk gini semua",0
inginku mengenggam tanganmu. memeluk dirimu erat. namun apa itu akan terwujud? kamu saja bahkan sudah muak denganku :'),5
ya ngakak ya sedih enjoy aja,2
aduh jadi malu,1
"karena blm dapet gantinya, karena blm tentu kerjaan yg baru lebih enak drpd yg lama",4
"akhir-akhir ini suka banget nontonin asmr, seru aja gitu",3
semangat deh gw,2
"sendiri dan sepi, aku ingin berlari menelusuri mimpi yang tak kunjung menepi",5
iya anjrott jangan jangan dia punya dendam sama gue ya,0
nugget dan sosis rebus itu enak ygy,2
ngeri bgt dah kek drama thriller psikopat,1
"dua-duanya, asalkan coklatnya ga manis banget aku suka.",3
saturday gini tl gua sepi,4
ini ig lg rame pap foto ayang wkwkw terus jd tau deh bias2 temenku ini siapa aja soalnya pd ngepost foto oppa2 gt kan. terpantau gaada yg bias winner nih gmn kecewa,5
"ncts! yang lagi nunggu comeback nct mana suaranyaa?? yukk sini kita menabung buat persiapan cb, biar ga panik nanti kalo announce cb bole dm tanya"" dulu kok",4
semangat tinaa!!,2
semangat hari ini!!,2
aku suka british accent pas masuk kuping itu keren banget tapi ya itu ngga paham jadi suka bingungan,3
"pagi ini syahdu banget~ dingin, hujan, sepi. cocok buat rebahan anyway, morning moots. have a great weekend",2
"chris wilder: ""namun malam ini adalah soal malam luar biasa untuk klub sepakbola ini dan mengapa penggemar di seluruh dunia menikmati piala fa. tidak ada perasaan yang lebih baik daripada memenangi laga piala fa di old trafford pada jumat malam seperti ini.""",4
ramah tamah rajin marah tak mau mengalah,0
"cara melawan toksik maskulinitas rapuh, salah satunya adalah dengan mendukung laki-laki agar tidak ragu merawat dirinya sendiri.",4
nasi di godong jati.. enak bnget mbak,2
bukan lockey tapi sedih bgt denise hengkang dari secret number. menurut gue denise dan monday vocal terbaik di gen4 sih (menurut gue ya jgn salty) ditambah lagi mereka dari company kecil,5
gak sedih sm sekali tp kyk gak ikhlas ngerti gak seh,5
enak loh,2
"kirain jumat loh, vibesnya kaya hari jumat sepi gitu",4
"ih sedih bayanginnya, gimanapun suatu hari semuanya pasti mencapai akhir kan ya :(",5
takut banget..,1
"gemini plin plan banget, suka bgt ngerubah rencana seenaknya. mn orgnya ga jls",0
tau aja lu kan jadi malu gw wkwk,2
tapi sedih juga karena yg aku pikir selama ini dia baik2 aja ternyata mikir kayak gitu :(,5
untuk perempuan yang apa apa biasa sendiri kalian luar biasa semoga diberi kesehatan jasmani dan rohani semangat !,2
sibuk sekolah sm kegiatan organisasi sygg awal tahun lu apa kabar,4
"masih tingginya kasus omicron di indonesia, membuat para pelaku industri pariwisata di bali mengaku sangat khawatir dengan kondisi saat ini.meskipun pemerintah telah mencabut pembatasan wna yang ingin berkunjung ke indonesia, namun kunjungan wisatawan asing ke bali masih sepi",4
"happy birthday my mom sorry lupa dah saya tak pandai berkata2 cuman mau bilang sehat sehat makasi sudah melahirkan saya keduania ini, maaf selalu bikin marah terus kadang ga bisa ngertiin keadaan mama i love you hahah dahlah telat 5 hari lagi",3
"eh buset gedeg bgt bacanya anak setan lu pada, justru ini yg gua suka dari 2gether di ceritanya bener bener nunjukin cinta ya cinta, bukan cuma tentang nafsu doang.",0
selamat siang sender!! kebetulan saya avail sekarang dan lagi senggang banget cause i don't have anything to do now. bisa banget nanti kuta ngobrol-ngobrol dan jika kamu butuh saran saya akan bersenang hati memberikannya. bisa banget buat cerita apapun tanpa takut saya akan melayani,4
selamat pagi!happy weekand enjinn!!semangat buat aktifitas hari inijgn lupa untuk v0te+stre4am nya yaa!! stay healthy&stay safe semuaa:)) -en,2
aku rela menunggu meski kamu tak memberi kabar. bahkan aku sadar jika aku ingin kamu tinggal kan.,5
"saya tidak di ajarkan bermulut manis dan bermuka lebih dari satu. suka, saya katakan. benci, saya tunjukan. sayang, saya buktikan. krna sya bukan yng memberi senyum kebhongan",4
tapi ini enak bgt,2
"yang komen buruk ini beneran ada masalah sama otaknya kayaknya, tolol banget. .",0
"kok gw sedih ya? gw nyesel, knp gw ngga kenal bw nya pas dulu² aja sih, pas pertama mereka buat series, yg katanya tuh masih adem ayem aja rasanya, knp gw harus ngrasain di moment sekarang sih, yg isinya tuh cuma war³ terosssss, jujur aja gw emng masih awam banget kenal bw-",5
ak ya pengen coba kenain air tetap sj takut,1
seperti tidak ada semangat hidup,5
mending lo baca dm gue biar gue pagi2 tidak emosi,0
kabar bahagia banget pagi ini,2
pake ikut2an kaget segala,4
"dulu gue pernah diajarin buat cari tau apa yang gue ""suka"" dan ""bisa"". ini exercise yang cukup unik, karena ini logical banget. ketika kita mau nge ""flow"", ya kita musti start untuk bergerak aja dari hal2 yang keliatan. nanti kepercayaan diri akan terbangun sendirinya.",4
"oke, kak wulan. sama-sama ya. beyar senang mendengar kabar baiknya. selamat menikmati layanan indihome kembali dan selamat berakhir pekan :) -beyar",2
adek kok tau bangetsuka di ajak jalan2 sama member adek ke kebun binatang yah?,3
"huuh pasti ada dari mereka yang mau menjatuhkan 1: sekian juta orang.. allah sayang sama kamu, allah mau kamu istirahat dulu skrg gpp nikmati aja rulesnya gak boleh marah ataupun sedih semua pasti ada yg lebih indah dari ini",4
jadi malu,1
ngapain takut buka 1st acc kan aku punya allah,4
bangsat tu apa kak?,4
"hii ayaa, semangat ya buat hari inii, have a great day ;33",2
main pakai first e pon kalah gak dengan kelab bodoh. apa bala la m.u ni,0
"sherlymu soft bucin banget gila gw suka, canonnya sherly caring ama understanding juga ke liam si cuma sayang scenenya kurang banyak ayo takeuchi-sensei banyakin konten bucin sherly",3
"crush gw jgn malu"" buat ngechat gw dah ;3 love u",3
takut namun berusaha percaya diri,1
rasul palsu kayaknya..,4
"*32. setibanya jerman di studio, syuting berjalan seperti biasa, cm aconh ngeliat gelagat zema mulai menuju lebih care sama jerman, maklum insting bencong, beres syuting tiba2 a˜ze gw mau break dulu ni dr semua kegiatan syuting, gw mau ke balia jerman saida.",4
"selamat pagi cantikku,semangat kegiatan hari ini! jangan lupa senyum hari ini! have a great day!,",2
"good morning gantengnya aku ;3 iya maaf aku baru bangun jadi gabisa nemenin kamu sarapan, makasih loj udah buatin aku sarapan, pasti enak banget apapun buatan ayang aku suka sih *malu*",3
apaansih ko jd sedih,5
terserah dan masa bodoh jika kamu tidak suka atau bahkan membenciku . rasa kesalku belum juga hilang,0
"diem bae bitcoin lagi naik, ngko ujug-ujug ono le menanyakan kabar",4
wkwkwakw ada kambing yg marah..,2
"daddy ni kan, saja je kacau kita, yela kita biasa kacau dia kan",4
terkadang disitu sya merasa sedih,5
ini ga ada niatan digaji gt ya? sedih amat isip,5
bodoh,0
"anjing nih eps 3 sedih banget bangsat gue nangis ampe idung mampet, jadi kesel ah",0
kalean apa bangsat,0
"sedih ngga sih,harus dengar hal yang kaya nya kalo di denger bikin ovt,sedih dan yang lainnya:)",5
"halo sayang!! si cantik-cantik ini suka banget pda, udah lulus s3 bucin di tl ada kak cei , kak lyora , kak vee , clara , cici iko sama kak lila ini carrdnya sukses yaaa",3
"á…  á… á…  á…  seru juga rumah deket pantai. boleh-boleh, saya masih muda. enak dong, udah punya pacar belum kamu? á…  á…  á… ",2
eh ist ini udah 12 hari memang gak ada kabar apapun atau elu yang kagak mau berkabar,4
cewe kasih barang bagus hanya ke cowok yg dia ada rasa,3
"pemipin yg penting byak ide bukan diberi ide terus menerus disetir, bgmna caranya bisa dalam jangka kurang 20th indonesia jadi super power rakyat makmur ..! gampang kok kuncinya tanpa perlu menghukum koruptor segala, tanpa, hutang, tanpa exploitasi sumber alam. sanggup..!",2
lagu merasa indah kenapa sedih ya,5
"pasti atuh apalagi lg musim begini.. engga itu radang biasa gpp, makan buah2an yg banyak.. aku baru sembuh, kmrn begitu juga huhu",4
aku nda suka dispet tp makasi y udah kasih foto ini,3
semangat nugasnya fanyaa,2
eh ini banyak idol yang habis kena c word udh selesai loh. ini ga ada kabar sama sekali helloo??,4
"wkwkwk karena biasanya berawal dari coba-coba, kepo, dan lanjut ketagihan. kalo ngga suka sih ya ga bakal lanjut. aku dulu juga kepo bau tembakau tuh gimana ga enak. pas di lab waktu itu ada yg bawa tembakau bused baunya kek obat rumah sakit enek banget",3
"dia marah yae di ship sama ayato, katanya yae miko based on yae sakura on honkai yang emang canonically lesbian tapi ini kan genshin impact",0
buat apa sedih hati.,4
"sedih, liat kamu bisa lebih bahagia dengan orang lain..",5
biasanya ka nambah shipping dr supplier ke wh nya saja ka tambahannya 300 won selebihnya untuk ekspedisi tax tetep sharing sm barang ku yg lain,4
"udah ikhlas kok, tapi masih sedih aja kalau di inget inget lagi",5
aa suka banget senyum tae disini anwjjsjjw sayang sayang bangett.,3
"aslik suka banget sama natrep. msh ada produknya yg under 20k. cocok di muka pun, ga bkn break out",2
"tapitapi welcome paus babyl, kayanya aku jg masih baby sih, cuma 3tahun lebih dulu(?) tp sayang aku lagi suka adeknya, gasih karna mereka hiatus aja, besokk papi aku pulang wamil, kangen updatetan ig papi olkay",3
mrk ga akan pernah telusuri dg tuntas makna kisah dan ayat alquran yg disampaikan. spt biasa ambil sepotong ayat lalu sebarkan demi menjelek2an ajaran islam.,4
"gua liat lysyn dejun sedih, iya gpp jun kita nunggu wayv kombekmaaf ya jun semangat wayv",2
"orang kalau hatinya udah kotor tu pasti ada aja tingkah jahatnya, itu peristiwa paling gak bisa dilupa deh dan jadi peristiwa sedih juga. alhamdulillah om ku sembuh dan bisa pulih kembali, mungkin kalo sekeluarga besar gak saling sopport nyawa om ku bisa aja hilang :')",2
"bangun tidur dapat kabar baik tentang jimin seneng bangett, jagoanku udah sembuh",2
bodoh itu mah xixi,2
"zoo anabul kecil tetangga aku gamau diem, kadang suka tbtb masuk kerumah. kadang suka pup diteras rumah jg, apa karna sering kita kasih makan jadi begitu ya?",1
pengen keliatan pinter tapi tolol,0
"terima kasih sudah berjuang sejauh ini. bertahan sekuat kuatnya. jangan pernah mengeluh. terus berjuang, terus semangat. walau sendiri, jgn bersedih. masih ada tuhan yg mau menemani tiap saat. for me",2
"bandung aku baca sekali, ampe sekarang belom berani reread lagi ih sama suka banget kalo ff ff nya ka shita, selalu ada jalan keluarnya dan happy ending gitu walaupun proses nya rollercoaster banget kalo punya ka rai aku cuman baca au chio ibel, yang ff di wp belom pernah baca",3
sampai sekarang aku masih suka banget sih sama air. tapi udah nggak pengen jadi mermaid. sekarang maunya jadi tyrannosaurus rex,3
kasih itu menutupi banyak kesalahan..kasihilah musuhmu..bagaimana engkau dapat mengasihi tuhan yang tidak kelihatan bila manusia yang terlihat saja tidak dapat kau kasihi,4
suka ksl sama bt banget dehh dia suka marah klo aku ga ngabarin dia dlu klo mau pergi tpii dia sendiri klo mau pergi ngabarinnya pass udh di tempat ks gaksi,0
"yess. aku baru suka exo sekitar september 2021 lalu, kaak. gak tahu apa alasannya, tapi beneran ini mah bisa dibilang sayang tanpa alasan, wakaka. daya tarik mereka terlalu kuaat. gak pernah nonton live show, dsb tiba-tiba suka dan sayang banget banget sama mereka..",3
pagi pagi luar biasa!,2
"sksksk bener banget, pas ngajar gua cuman cengo aja ngeliatin, nanya ke temen ni orang ngomong apa. mana pelajaran ipa..tapi kalo di fb suka comment2an bahkan chattingan sama mr.nyaa",4
iyoo daa kawannyo pon banyak nan malu daa caliak ke norak-annya,4
"gila ya, suka banget ke trigger banget anjir sama yg abusive sama hewan huhu, hatinya mati apa gimana sih.. t__t",5
maaf ya gais aku bodoh,5
"orang cuma bisa nya ngeliati hidup orang lain saja, tp mereka nggak pernah ngeliati hidup mereka sendiri aja belum bener!",0
"film ini semacam tribute untuk dunia jurnalisme. penggemar wes anderson sudah pasti bakalan suka sama film ini. tapi buat aku yang hanya penikmat film biasa, nonton the french dispatch kyk abis lari 10 km, capek. banyak sub plot dan banyak banget hal yg mau diceritain. tapi..",4
"nah kalo ini bukan pick me girl lagi, lebih ke tolol banget anjing girl",0
selamat ulang tahun adekk sehat dan bahagia selalu yaa,2
mau marah ayank update gua udah tidur,0
alhamdulillah pagi ini dapet kabar baik,2
"semakin sakti manusia mk semakin bodoh akalnya, semakin tdk punya apa2 (kesaktian) mk semakin kenceng sandaran pada al 'aziz allah swt.",4
ketoprak lebih enak ya bang,4
"semangat ya team, jangan lupa doa dulu setiap sebelum tanding, kalian yg tanding saya yg takut ini soalnya, pokoknya semangat terus, jangan merasa terbebani okay! enjoy your match!",2
"dule : si yang paling are u sleeping?brother john? haha. temen lawakku. ucik : si paling dewasa, sabar bgt hadapin aku. cik,bagi hotspot,cik kantin ibok,cik aku gembel bgt ga?. suka aku repotin juga kadang kadang onik : kadang kadang hebring sendiri, tapi aku sayang.",3
semangat vancaa,2
sehat selalu panjang umur aamiin,2
kgk soalnya aku semangat event,2
"walaupun danpuspom anak buahnya emangnya lu kebal hukum, tugas puspom ga liat lu jendralnya tapi liat kasus hukumnya. bilang aja dung emang takut dikerangkeng.",1
awokwok mw nge babu dulu sebelum kena marah emak,2
jangan memancing emosi pagi pagi,0
"males banget, nge-chat w kalo cuma mau nirun, huh. di sekolah aja lagaknya kayak orang pinter, tapi suka nirun aing",0
tipe orang yang slowrespon alias males banget jawabin chat orang tapi paling suka kalo ada yang cerita panjang lebar bikin jengkel,4
"isin ora kisen. artinya kalau kamu malu maka perutmu tidak akan terisi. jadi, dalam melakukan suatu pekerjaan yang halal jangan malu malu karena malu akan menghambat rejekimu. sekian, terima kasih.",4
"enak kalo masak telor ceplok, margarin yg masih nyisa ditaruh di nasi behh",2
7 arti mimpi menggali kuburan yang menakutkan: tak perlu takut saat mengalami mimpi menggali kuburan.,4
aku benci tahun ini,0
dia kayanya suka banget sama ni kaca ya sering banget foto di kaca ini,3
diaku ngga bgt jerawat makin meradang sampe sekarang on off mulu sedih bgt aku:),5
"gue takut di dpt guru, wml biar ga ketauan bk",1
"hari ini gk dl,ngeri",1
"aku pikir aku salah makan atau apa, karena aku sendiri kadang suka bandel klo urusan makan jdi aku pikir maag biasa tapi pas diperiksa itu katanya lambungku infeksi, mana obatnya banyak banget hiks makasih banyak ya kmu juga sehat2 teruss",5
takut skripsi,1
"orangtua kita selalu bahagia melihat kita, selalu tercurah kasih sayangnya buat kita tanpa batas..",2
"engga dendam, cuma diotak mikir kok bisa kaya gini?",4
"subuh"" gini udah galau dan kecewa",5
takut abis barbar,1
adik ajak jogging. pastu aku mimpi aku dh jogging dengan dia. aci la tu hahahahaha bodoh sekarang,5
kejer panik takut kebakaran dormnya,1
orang bodoh jadi ustad pengikutnya jadi bodoh semua,0
"butuh season 2 pokoknyaa,, khusus yang kkakkung couple harus adaa soalnya sedih momennya cuman dikit dan sebentar bangett. dan moga yesung oppa cepet-cepet dapet pasangan di real life nya, sudah waktunya menikah oppa. kami menunggu undangannya",5
sedih banget ya jadi wanita,5
sepi itu datang lagi motivasinya pun kembali turun tetap berusaha kuat agar apa yg ingin dicapai tidak terlewat,4
"1 kata aj sih, 'kecewa'",5
tolong banget join pinned ya besti 28k sepi bgtt ini yuk kesempatan besar buat win nih,4
saya merasa bahagia karena pelaku usaha?mkm disana mendapat penuh dukungan,2
alhamdulillah kabar baik,4
aku sedih bet,5
malu banget tadi nangis dipergokin nyokap,1
mendengar hp bunyi teh sekarng malah takut.. takut dapat kabar buruk,1
"prettytitit pencitraan lo udah sampai kelangit 7 pemprov lo kekurangan dana pajak lo hilangkan itukan aneh ,gua gak tau itu namanya dungu atau bodoh dua""nya julukan kamu!!",0
iiih malu mau blng nnti pas libur semester pulang lg,1
"jujur ya , banyak cinta yang datang kepadaku, tapi ku tolak semuanya. karna aku masih suka wanita!!",3
"erick thohir menjelaskan, tujuan gerakan et ini dibentuk guna membumikan semangat bertani masyarakat. ia pun ingin agar masyarakat dapat memanfaatkan lahan perumahan menjadi lokasi pertanian.,",4
"dulu .. ustadz/ustadzah, kata serapan dari bahasa arab yang aslinya berarti guru, sebutan ini khusus bagi guru ngaji (baca-tulis qur'an) dan juga ilmu agama saja. sebutan ini poluler dalam kalangan pesantren",4
denise gw sedih,5
"link nonton tsuma shogakusei ni naru,drama jepang penuh tawa dan tangis",4
"kayanya gusti allah marah sama aku:""(",5
jangan jatuh cinta dan suka daripada sakit hati!,1
"jangan lupa join pin ku yaa masih sepi huhu thank u, semoga cepet bigwin yaa",5
"nyesek dipendem, kangen dipendem, cemburu juga dipendem, kecewa dipendem, bahkan nangis juga dipendem..sampe sakit dada :')",5
"nah iyaa, kaget banget terus mikir ""kok bisa dia suka sama gue""",1
ikr diorang smpai mcm tu sekali benci dekat lucas tnpa buat sebarang usul priksa dulu..knapa dia dh debut dkt 2 tahun lebih baru nk buka mulut pasal ni kan.. siap ada lumis upah private investigator utk siasat issue ni.. mmg kerje sasaeng ahh sbb dia haters lucas,4
yaallah kaget banget tiba2 di dm ka anin tau taunya win,1
g terbayang gw langsung panik,1
aku hanya manusia biasa yang tak sempurna adn kadang salah..,4
lo benci jamet sih sebenernya bukan pesepeda motor,0
makin kesini snowdrop stan makin ngelawak udah gak ada sedih sedihnya,2
bahagia bgt,2
mau dong mutualan.. akun baru netes masih sepi bgt :(,5
iya aku liat ini di berita sedih banget bapak e nangis,5
"guys, crush sender jadi sering reply sw sender..ini sender kudu seneng karna di reply trus, atau sedih kayanya dia nganggep sender sebagai temen doang..btw kita udh hampir ga chatan selama sebulan trus dia tbtb sering reply sw sender gtu",5
"ketika kamu berharap yang terbaik tapi kamu hanya mendapat yg biasa, bersyukurlah kamu bukan yg terburuk.",4
"join bn la. dapat makan mewah. tak cheapskate. baru semangat buat kerja. tengok semua muka ada senyum. yang muda cheapskate sangat. muka memaseng tegang. tengok bn memaseng pay attention bila ada yg melawak. kalau tgk meja muda, memaseng tunduk je pandang lauk sendiri",4
gatau anjg kesal,0
memang bagusnya denise sendiri yg klarifikasi biar lockey ga fitnah sana sini kalo dari agensi nanti dikira denise yg dikeluarin padahal ga mungkin vine melakukan hal bodoh,4
"mau meluk takut dosa, gak meluk mubadzir astaghfirullah bestie",1
heran banget langganan luka kena pager kosan kalo mau mudik hari hari biasa (alhamdulillahnya) gaperna padahal,4
"habis itu sakit hati, tolol banget emang",0
"jarang suka genre romance, tp sekalinya suka lgsg bucin banget !!",3
"pesan delivery aja, kasian perutnya..",4
selamaat terus semangat yaa sender,2
"jelek bgt sabtu mu semangat ya, jgn lupa sarapan!",2
"sok""an kaget , dasar beban",0
"hi, kak langit. waah mantap ya kak. semangat terus wfh nya kak. semoga sehat selalu. -diar",2
"* malam 1 nenek pake baju tipis. malam 2 nenek pake bikini, kakek kaget doang. malam 3 nenek telanjang bulat, kakek malah bilang, ""baju kusut kok dipake!""",4
pas punya iya suka banget,3
"inilah contoh orang2 yg belum siap bersosial media ya gini nih udah close minded, racist, bodoh attitude gak ada",0
"buset, ujung ke ujung inimah. berapa jam perjalanan pulang pergi om?",4
aa maaf pagi pagi malah marah marah,0
semangat pagi.. semoga hari ini dilimpahkan banyak rejeki.. aamiin,2
tka gak usah asal jeplak kalau tidak tahu budaya orang indonesia.. bodoh jangan di pertontonkan.. tka buzzerrp dapet berapa receh.. dasar lambe arus,0
"dijelasin knp tubuh inang bisa kalah krn keinginan hidup virus jauh lbh kuat. nah untuk kasusnya gwinam, keinginan hidupnya lbh kuat krn dia punya dendam ke cheongsan, makannya dia ga kalah dn masih bisa sadar dr virusnya",4
mon maap ini sedih tapi lucu jadinya w ngakak awkwakak,2
"punya acara pagi bukannya disiapin dari malem atau bangun lebih awal malah milih marah marah di pagi hari, hdehh",0
kalo takut malu jangan dikasih palu mas,1
"semangat buat hari ini ya!! u deserve to be happy. anw, jgn lupa sarapan sebb",2
enak nya makan yang anget2 ni,4
